id	text	gold_label	category
asr-primary-p01	interrompa a tarefa imediatamente	CANCEL	cancelamento_direto
asr-primary-p02	nao execute nada agora	CANCEL	negacao_de_execucao
asr-primary-p03	encerre o procedimento em curso	CANCEL	cancelamento_direto
asr-primary-p04	desista dessa acao	CANCEL	cancelamento_coloquial
asr-primary-p05	suspenda imediatamente o tratamento	CANCEL	negacao_de_execucao
asr-primary-p06	cancele o comando atual	CANCEL	cancelamento_direto
asr-primary-p07	cancele a acao que esta em andamento	CANCEL	cancelamento_explicito
asr-primary-p08	nao avance para o proximo passo	CANCEL	negacao_de_execucao
asr-primary-p09	aborte essa tentativa	CANCEL	cancelamento_direto
asr-primary-p10	nao faca a pulverizacao	CANCEL	negacao_de_acao
asr-primary-p11	cancele tudo por enquanto	CANCEL	cancelamento_coloquial
asr-primary-p12	nao deixe a estacao de recarga	CANCEL	negacao_de_saida
asr-primary-p13	nao faca o retorno a base agora	CANCEL	negacao_de_retorno
asr-primary-p14	pare antes de comecar	CANCEL	cancelamento_temporal
asr-primary-p15	quero cancelar a atividade	CANCEL	cancelamento_direto
asr-primary-p16	o que aconteceu no talhao ontem?	UNKNOWN	pergunta_historica
asr-primary-p17	quanto tempo choveu hoje?	UNKNOWN	pergunta_fora_do_contrato
asr-primary-p18	o robo ja terminou o servico?	UNKNOWN	consulta_de_estado
asr-primary-p19	qual e a umidade do solo?	UNKNOWN	pergunta_fora_do_contrato
asr-primary-p20	talvez a gente converse depois	UNKNOWN	hesitacao
asr-primary-p21	eu ainda nao decidi	UNKNOWN	hesitacao
asr-primary-p22	mostre a ultima inspecao	UNKNOWN	classe_futura
asr-primary-p23	a bateria esta cheia?	UNKNOWN	consulta_de_estado
asr-primary-p24	o que significa pulverizacao?	UNKNOWN	pergunta_de_dominio
asr-primary-p25	o plot do leste foi tratado ontem	UNKNOWN	historico
asr-primary-p26	nao tenho certeza se devo seguir	UNKNOWN	hesitacao
asr-primary-p27	como esta o vento agora?	UNKNOWN	pergunta_fora_do_contrato
asr-primary-p28	poderia explicar o mapa?	UNKNOWN	pergunta_fora_do_contrato
asr-primary-p29	o robo consegue trabalhar a noite?	UNKNOWN	pergunta_de_capacidade
asr-primary-p30	este e so um comentario	UNKNOWN	conversa_sem_acao
asr-primary-p31	aplique defensivo na faixa experimental	SPRAY	ordem_explicita
asr-primary-p32	distribua produto no lote de demonstracao	SPRAY	ordem_explicita
asr-primary-p34	conduza o robo para a estacao de recarga	DOCK	retorno_para_recarga
asr-primary-p35	recolha o robo na doca	DOCK	retorno_explicito
asr-primary-p36	faca o retorno a base de carregamento	DOCK	retorno_explicito
asr-primary-p37	libere o robo da estacao de recarga	UNDOCK	saida_explicita
asr-primary-p38	realize a desatracacao	UNDOCK	saida_tecnica_explicita
asr-primary-p39	remova o robo do suporte de estacionamento	UNDOCK	saida_explicita
asr-primary-p40	autorizo o inicio	CONFIRM	permissao_explicita
asr-primary-p41	esta autorizado	CONFIRM	permissao_explicita
asr-primary-p42	sim confirmei	CONFIRM	permissao_explicita
